nfeature,r_g1,r_g2,num_bioreps,num_allele_specific_reads_per_biorep,num_allele_specific_reads,total_coverage,theta1_sim,theta2_sim,delta_AI_1,delta_AI_2,delta_AI_3,alpha1_sim,alpha2_sim,average_alpha1,median_alpha1,variance_alpha1,average_alpha2,median_alpha2,variance_alpha2,average_theta1,median_theta1,variance_theta1,average_theta2,median_theta2,variance_theta2,average_c1_sampleprop,median_c1_sampleprop,variance_c1_sampleprop,average_c2_sampleprop,median_c2_sampleprop,variance_c2_sampleprop,prop_H1_LE05,prop_H1_LE01,prop_H2_LE05,prop_H2_LE01,prop_H3_LE05,prop_H3_LE01
1000,0.8,0.8,5,320,1600,200,0.5,0.5,0,0,0,1,1,1.0018455,1.0028,0.002254106,1.0000247,1.00025,0.002249685,0.5002835,0.4991,0.000557586,0.5011849,0.5005,0.000556893,0.5003831,0.4995,0.000608283,0.5012429,0.5006,0.000616548,0.043,0.005,0.042,0.007,0.042,0.006
1000,0.8,0.8,4,400,1600,250,0.5,0.5,0,0,0,1,1,1.0004016,1.00045,0.002886835,1.0023184,1.00015,0.00272245,0.501287,0.50065,0.000712448,0.5002914,0.5008,0.000670395,0.5013931,0.5011,0.000788974,0.5002808,0.50065,0.000746255,0.046,0.005,0.037,0.008,0.037,0.006
1000,0.8,0.8,6,400,2400,250,0.5,0.5,0,0,0,1,1,1.003013,1.001,0.002041712,0.9992678,0.99685,0.002000788,0.4995098,0.49995,0.000500393,0.5013661,0.5021,0.00049554,0.4994458,0.5,0.000533801,0.5014202,0.5022,0.000531527,0.057,0.011,0.057,0.016,0.054,0.008
1000,0.8,0.8,5,480,2400,300,0.5,0.5,0,0,0,1,1,1.0025221,1.00155,0.002110373,1.0017897,1.0003,0.002175564,0.4998538,0.49985,0.000519869,0.5002371,0.50035,0.00053742,0.499843,0.4996,0.000562921,0.5002534,0.5001,0.000581536,0.048,0.008,0.039,0.006,0.042,0.015
1000,0.8,0.8,4,600,2400,375,0.5,0.5,0,0,0,1,1,1.0024592,0.99895,0.00262136,1.0049948,1.0043,0.002305555,0.500149,0.50125,0.000644854,0.498814,0.4986,0.000568498,0.5001905,0.50145,0.00071525,0.4987554,0.4988,0.000628888,0.038,0.005,0.023,0.004,0.03,0.002
10000,0.8,0.8,6,160,960,100,0.5,0.5,0,0,0,1,1,1.00259571,1.0009,0.002469526,1.00182592,1.0008,0.002544111,0.49998034,0.5002,0.000605197,0.50038027,0.5003,0.000627353,0.49996071,0.5,0.000662492,0.50039205,0.5005,0.000686693,0.0409,0.0072,0.0465,0.0074,0.0448,0.0074
10000,0.8,0.8,5,192,960,120,0.5,0.5,0,0,0,1,1,1.00311969,1.002,0.002789688,1.00229759,1.0011,0.002834226,0.49988269,0.4998,0.000684286,0.50030412,0.5002,0.000696128,0.49989815,0.4995,0.000758202,0.50034163,0.5005,0.000770716,0.0428,0.0083,0.0462,0.0078,0.0438,0.0084
10000,0.8,0.8,4,240,960,150,0.5,0.5,0,0,0,1,1,1.00232574,1.0013,0.00327268,1.00261361,1.0011,0.003180195,0.50052979,0.5003,0.000801681,0.50036433,0.50035,0.000777678,0.50054888,0.5005,0.000907366,0.50040078,0.5005,0.000878592,0.0436,0.0071,0.0398,0.0066,0.0423,0.0054
10000,0.8,0.8,12,80,960,50,0.5,0.5,0,0,0,1,1,1.00215042,1.0006,0.001798536,1.00108499,0.99925,0.00180639,0.49982528,0.50015,0.000443272,0.50035801,0.5008,0.000446424,0.49982269,0.5,0.000470175,0.50037121,0.501,0.000473688,0.0522,0.0084,0.0492,0.0098,0.0533,0.0092
10000,0.8,0.8,8,120,960,75,0.5,0.5,0,0,0,1,1,1.00186733,1.0012,0.002186057,1.0023499,1.0008,0.002162729,0.50016605,0.4999,0.000539977,0.49992081,0.5002,0.000532645,0.50017781,0.5,0.000581817,0.49992208,0.5,0.000574067,0.0486,0.0102,0.0471,0.008,0.0469,0.009
1000,0.8,0.8,5,320,1600,200,0.5,0.5,0,0,0,1,1,1.0028904,1.00125,0.002373764,1.0025068,1.0015,0.002402276,0.4997946,0.50005,0.000583884,0.4999966,0.5,0.000594299,0.4998571,0.5,0.000638892,0.4999352,0.5003,0.000649112,0.037,0.011,0.042,0.009,0.05,0.003
1000,0.8,0.8,5,80,400,50,0.5,0.5,0,0,0,1,1,1.0055249,1.0032,0.003959303,1.0011772,0.9993,0.00374812,0.499346,0.4996,0.000959623,0.5014524,0.5014,0.000919077,0.4992323,0.5,0.001117675,0.5015954,0.5013,0.001070963,0.033,0.005,0.032,0.003,0.037,0.002
10000,0.8,0.8,6,160,960,100,0.5,0.5,0,0,0,1,1,1.00147941,1.0004,0.002517696,1.00200788,1.0012,0.002495575,0.50054982,0.5005,0.000621686,0.50028207,0.5001,0.000614153,0.50057213,0.5005,0.000679241,0.50029489,0.5,0.000672366,0.0459,0.0077,0.0445,0.0067,0.0448,0.0073
